Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	1.4319	4.0000	0.6236	0.2143	0.5830	0.0110	20.3572	4.3593	5.3251	20.8187	21.0422	4.4047	0.4506	2.8705	0.7165	0.0000	0.0000	0.0000	0.0000	1.3473	1.3531
2	-3.0144	-2.8888	1.4267	1.0000	0.9253	0.0484	0.3544	0.0986	22.1066	6.7559	6.0912	23.1159	22.9304	4.5589	0.4552	4.8005	1.0452	0.0000	0.0000	0.0000	0.0000	0.0000	0.7175
3	-2.8888	-2.7632	1.4317	1.0000	1.0101	0.0121	0.3638	0.0457	20.8149	4.3130	7.0576	21.2570	21.9788	3.6135	0.4434	2.6560	0.7423	0.0000	0.0000	0.0000	0.0000	3.7989	3.8104
4	-2.7632	-2.6376	1.3715	1.0000	1.0220	0.0564	0.2015	0.0916	23.3389	7.0316	8.2581	24.3751	24.7568	7.5635	0.4640	3.0557	1.1963	0.0000	0.0000	0.0000	0.0000	0.0000	0.1179
5	-2.6376	-2.5120	2.1432	5.0000	1.3752	0.0819	0.6352	0.0508	29.2887	5.4787	5.2616	29.7967	29.7576	5.0241	0.4293	1.9227	0.9452	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	-2.5120	-2.3864	1.2917	3.0000	0.7345	0.0976	0.3168	0.1428	19.0253	4.6308	7.1815	19.5808	20.3356	4.2152	0.4502	3.0997	0.9772	0.0000	0.0000	0.0000	0.0000	0.0000	4.8001
7	-2.3864	-2.2608	1.7617	2.0000	1.1191	0.0822	0.4843	0.0761	17.8174	6.4643	5.9310	18.9538	18.7786	5.5569	0.4476	2.7005	1.0651	0.0000	0.0000	0.0000	0.0000	0.2802	1.5101
8	-2.2608	-2.1352	1.4769	2.0000	0.9913	0.1461	0.3002	0.0393	20.3779	4.9961	6.2034	20.9814	21.3012	5.1575	0.4358	3.2943	0.9164	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	-2.1352	-2.0096	1.9219	1.0000	1.0198	0.0132	0.8021	0.0868	25.1261	6.2458	5.0970	25.8908	25.6379	4.6133	0.4650	3.9779	1.2991	0.0000	0.0000	0.0000	0.0000	0.0018	0.0218
10	-2.0096	-1.8840	0.9810	3.0000	0.6867	0.0574	0.1600	0.0769	24.2482	9.7239	9.8228	26.1252	26.1622	9.0700	0.4775	3.4737	1.3885	0.0000	0.0000	0.0000	0.0000	0.0000	2.7406
